Date,Open,High,Low,Close,Adj Close,Volume
2008-08-07,70.570000,71.900002,70.010002,71.199997,53.036427,55781300
2008-08-14,71.199997,71.800003,70.589996,71.080002,52.947033,49508700
2008-08-21,70.680000,71.680000,70.250000,71.209999,53.043865,38601700
2008-08-28,71.480003,72.099998,70.419998,71.510002,53.613335,43482900
2008-09-04,71.489998,72.760002,70.309998,71.230003,53.403393,71310300
2008-09-11,70.919998,71.870003,69.500000,69.510002,52.113853,99300100
2008-09-18,70.199997,72.690002,67.550003,68.190002,51.124210,98899400
2008-09-25,68.550003,69.970001,66.900002,67.790001,50.824314,98575700
2008-10-02,67.959999,68.370003,61.119999,62.360001,46.753281,151868400
2008-10-09,62.639999,67.480003,52.060001,60.540001,45.388760,180100700
2008-10-16,60.740002,65.000000,58.310001,61.419998,46.048527,115258600
2008-10-23,61.840000,64.500000,58.639999,61.529999,46.131004,124236200
2008-10-30,62.349998,62.750000,59.680000,59.849998,44.871449,89664200
2008-11-06,59.730000,61.250000,57.500000,57.919998,43.424465,84764500
2008-11-13,58.400002,63.009998,57.320000,58.119999,43.574413,114669100
2008-11-20,58.000000,60.000000,54.490002,58.270000,43.686886,122281000
2008-11-27,58.470001,58.759998,54.950001,57.320000,43.331787,61400100
2008-12-04,57.419998,59.770000,55.250000,57.799999,43.694637,76939200
2008-12-11,57.400002,59.750000,56.410000,58.779999,44.435486,77237100
2008-12-18,59.549999,60.250000,58.060001,58.560001,44.269169,70396700
2008-12-25,58.840000,60.049999,57.340000,59.830002,45.229256,36910300
2009-01-01,60.130001,61.000000,58.750000,59.130001,44.700077,63569800
2009-01-08,59.660000,59.889999,57.380001,57.950001,43.808041,79518100
2009-01-15,58.090000,58.200001,55.090000,56.360001,42.606068,86589900
2009-01-22,56.369999,58.750000,55.099998,58.560001,44.269169,89695800
2009-01-29,58.169998,59.130001,56.919998,57.959999,43.815594,65562900
2009-02-05,57.930000,58.720001,56.529999,57.330002,43.339344,66901600
2009-02-12,56.919998,57.849998,55.419998,55.830002,42.205391,57752100
2009-02-19,56.259998,56.500000,53.580002,53.959999,40.791737,96991800
2009-02-26,54.490002,54.490002,47.340000,49.099998,37.425579,129301700
2009-03-05,48.310001,48.730000,46.250000,47.900002,36.510895,103303700
2009-03-12,47.720001,51.580002,47.330002,50.660000,38.614658,83450300
2009-03-19,51.160000,53.599998,49.490002,52.860001,40.291557,98293400
2009-03-26,53.080002,53.700001,51.880001,53.040001,40.428780,73858800
2009-04-02,53.290001,54.130001,51.200001,51.450001,39.216831,69466400
2009-04-09,51.990002,52.459999,51.000000,51.770000,39.460735,59394400
2009-04-16,51.910000,53.490002,51.110001,51.180000,39.011021,70801800
2009-04-23,51.380001,51.840000,50.119999,51.029999,38.896675,72998800
2009-04-30,51.470001,54.750000,51.349998,54.209999,41.320587,77560700
2009-05-07,53.880001,55.500000,53.540001,55.150002,42.037064,64145000
2009-05-14,55.320000,56.480000,54.709999,55.869999,42.585884,68376300
2009-05-21,55.430000,55.580002,54.119999,54.220001,41.328201,43788100
2009-05-28,54.250000,56.480000,53.860001,56.160000,43.185669,57318500
2009-06-04,56.360001,56.400002,55.139999,55.660000,42.801197,56763900
2009-06-11,55.650002,56.540001,54.540001,55.200001,42.447464,65139700
2009-06-18,55.369999,56.650002,54.910000,55.459999,42.647404,69590500
2009-06-25,55.310001,57.230000,55.119999,57.070000,43.885471,91639400
2009-07-02,56.730000,57.220001,55.709999,57.080002,43.893147,53090900
2009-07-09,57.099998,59.000000,56.250000,58.959999,45.338818,71971400
2009-07-16,58.939999,59.900002,58.740002,59.189999,45.515686,52714500
2009-07-23,59.259998,61.689999,59.099998,61.160000,47.030567,51393900
2009-07-30,61.660000,62.470001,60.290001,60.450001,46.484596,54528000
